date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure
0,2.1,6.2,,4.6,1.6,,-0.0,100586.4
1,4.0,5.8,,2.6,1.3,,0.0,101535.8
2,1.9,4.3,,1.5,1.0,,0.0,102314.0
3,0.0,6.5,55.0,1.8,-1.9,,0.2,101986.6
4,7.0,0.0,15.5,1.2,-1.9,,2.0,100515.9
5,7.2,0.0,10.8,-0.2,-0.9,,2.4,100378.8
6,3.1,3.1,41.0,0.9,-2.6,,1.0,101052.1
7,3.9,2.0,28.8,1.4,-2.5,,-0.0,102168.5
8,2.0,2.1,31.3,2.3,-0.4,,0.1,102327.0
9,8.1,0.0,5.6,1.1,-0.1,-2.6,1.5,101788.5
10,8.0,0.1,20.7,2.4,1.2,-0.3,1.6,101898.8
11,8.1,0.3,15.1,2.5,1.6,0.2,0.3,101044.7
12,8.1,0.3,21.1,3.6,1.5,0.0,8.4,100074.0
13,8.1,0.0,17.0,6.4,1.6,-0.2,0.3,100480.0
14,8.0,0.1,11.2,7.5,3.7,0.1,1.6,101728.0
15,8.1,,11.7,8.5,4.3,0.8,9.4,100704.1
16,1.1,,49.8,7.8,6.3,1.9,0.2,101702.1
17,6.0,,16.7,7.9,4.3,0.2,-0.0,102623.5
18,7.9,0.1,14.5,3.1,6.3,3.7,0.9,102130.3
19,8.2,0.0,11.3,7.4,2.7,2.7,3.2,101316.3
20,6.9,2.1,32.2,8.6,5.5,2.2,1.0,
21,8.0,0.3,25.8,6.3,5.5,2.9,5.5,
22,6.9,0.2,20.0,6.9,6.1,5.5,-0.0,
23,7.0,0.2,12.0,5.1,5.2,3.0,,
24,6.9,0.0,30.1,3.1,3.5,3.5,,
25,3.8,2.9,43.4,6.2,2.1,1.9,,
26,5.9,0.3,18.7,7.9,2.2,-3.3,,
27,6.9,0.5,19.5,5.6,4.1,0.2,,
28,5.0,1.9,36.8,4.1,4.8,4.7,,
29,2.1,7.7,86.6,3.8,0.9,-1.7,0.2,
30,2.0,0.1,27.6,6.8,0.4,-2.8,-0.0,
31,1.9,4.8,61.3,8.2,2.0,-2.3,0.1,
32,7.1,0.0,21.6,8.9,4.4,0.7,1.3,100697.3
33,7.9,0.1,18.8,8.1,,3.1,2.1,100784.1
34,8.0,0.2,27.3,12.4,,3.8,3.1,100473.0
35,4.1,3.9,57.2,7.2,,6.0,0.4,100000.4
36,7.1,2.0,45.1,5.6,,4.3,0.0,101429.2
37,8.1,0.1,24.8,2.6,,3.4,0.2,102294.0
38,7.9,0.0,22.5,6.0,,1.8,0.6,101302.0
39,5.1,3.3,57.1,3.7,3.2,0.1,0.3,101179.1
40,4.1,4.3,62.3,3.8,2.4,1.6,0.0,101626.6
41,5.1,6.1,84.9,5.1,1.3,-0.5,0.7,102095.8
42,7.9,0.3,29.3,4.5,2.3,-0.7,0.4,102294.5
43,,0.8,34.3,4.7,3.2,0.6,0.0,102221.4
44,,0.0,26.6,4.4,3.0,1.1,0.3,101707.3
45,,0.1,33.7,5.8,2.0,-1.0,8.1,100649.5
46,,0.0,27.9,8.9,3.1,0.3,17.0,99436.4
47,,6.1,91.6,6.3,5.6,3.0,0.4,99168.6
48,,0.1,29.7,6.2,2.5,-0.5,8.9,98944.5
49,,2.8,67.1,6.9,3.9,1.7,0.2,99289.6
50,,6.2,,7.9,2.3,-2.2,1.2,99769.7
51,,0.5,,3.4,2.6,-2.6,14.8,99329.3
52,,-0.0,,7.4,3.6,2.5,0.7,98704.7
53,,0.3,,11.8,5.2,,3.8,99265.9
54,,0.2,,10.2,6.8,,4.8,99045.4
55,,0.2,,8.7,8.4,,6.6,98696.0
56,,5.1,,11.2,7.2,,0.9,98889.4
57,,1.1,,6.6,8.2,,19.9,99275.9
58,,0.2,35.4,10.4,6.5,,4.1,98918.3
59,,9.8,140.8,11.2,5.8,,0.1,101096.6
60,,9.8,145.8,7.2,5.1,,0.0,102304.1
61,6.9,0.5,52.4,7.8,4.7,,0.0,102107.1
62,3.8,4.7,109.9,9.9,4.7,,-0.0,102403.9
63,1.0,8.0,142.2,8.0,2.4,,0.0,
64,3.1,5.5,119.2,,4.0,,0.0,
65,0.0,10.1,172.4,,1.8,,0.1,
66,3.0,6.8,128.7,,2.4,,0.0,
67,7.2,0.3,55.0,,5.5,1.6,0.0,
68,6.8,0.1,39.3,,4.0,2.4,0.2,
69,6.1,1.3,76.9,,3.8,1.4,-0.0,
70,6.9,1.0,63.8,,4.8,1.2,2.1,
71,6.9,1.3,79.3,,6.7,4.1,0.1,
72,3.2,5.5,122.2,,8.6,4.7,0.0,
73,2.1,6.8,142.5,,7.8,2.4,-0.0,
74,3.2,8.6,166.6,,7.6,2.2,0.0,
75,3.9,1.3,74.2,,9.0,3.4,0.1,
76,6.0,3.0,98.8,,11.6,5.5,1.0,101513.3
77,7.0,1.3,85.7,,10.2,8.8,,100994.1
78,8.3,0.0,42.2,,11.3,9.7,,100371.2
79,5.1,2.5,107.8,,10.0,6.4,,101604.3
80,5.1,2.3,104.2,,8.9,5.7,,101791.2
81,,2.7,95.3,,6.9,1.9,,101657.8
82,,4.0,127.6,,13.3,7.8,,100514.6
83,,0.2,56.2,12.9,12.7,10.3,,99919.6
84,,3.5,117.3,14.3,10.3,7.2,,100023.7
85,,1.0,70.9,13.2,10.4,7.3,,100473.6
86,,,91.1,12.3,9.3,5.1,,100837.7
